date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:07:10	86/86	---M--	200	added ('OK')	text/plain	etag:%22982c09cf6df53000f3fab0d0a767b5fa%22	https://convertcase.net/robots.txt		(from )
19:07:11	39357/39357	---MCZ	200	added ('OK')	text/html	etag:W/%2223753969f053f0e353903fbeedd8cfce%22	https://convertcase.net/	D:/My%20Web%20Sites/caseConvert/convertcase.net/index.html	(from )
19:07:11	38890/38890	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225a765139bebdec2097e9bd38a8c0e598%22	https://convertcase.net/choice.js?tag_version=V2	D:/My%20Web%20Sites/caseConvert/convertcase.net/choicefdfe.js	(from https://convertcase.net/)
19:07:12	38890/38890	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225a765139bebdec2097e9bd38a8c0e598%22	https://convertcase.net/choice/	D:/My%20Web%20Sites/caseConvert/convertcase.net/choice/index.html	(from https://convertcase.net/)
19:07:12	18546/18546	---MCZ	200	added ('OK')	text/css	etag:W/%228fd7634a0c77d65ebe4a828c16663b06%22	https://convertcase.net/css/app.css?1722850109942	D:/My%20Web%20Sites/caseConvert/convertcase.net/css/appc213.css	(from https://convertcase.net/)
19:07:12	1522/1522	---M--	200	added ('OK')	image/png	etag:%22f28e14380cd15215e368315882e9b99f%22	https://convertcase.net/apple-touch-icon.png	D:/My%20Web%20Sites/caseConvert/convertcase.net/apple-touch-icon.png	(from https://convertcase.net/)
19:07:12	5430/5430	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%220b49782f643b9c682214d732ed18c3ff%22	https://convertcase.net/favicon.ico	D:/My%20Web%20Sites/caseConvert/convertcase.net/favicon.ico	(from https://convertcase.net/)
19:07:12	665/665	---M--	200	added ('OK')	application/json	etag:%22945c129ff0171a1e943e1fc153be1c2c%22	https://convertcase.net/manifest.json	D:/My%20Web%20Sites/caseConvert/convertcase.net/manifest.json	(from https://convertcase.net/)
19:07:13	40877/40877	---MCZ	200	added ('OK')	text/html	etag:W/%2287e497ec9bd3135c54fa26067935360e%22	https://convertcase.net/de/	D:/My%20Web%20Sites/caseConvert/convertcase.net/de/index.html	(from https://convertcase.net/)
19:07:13	47048/47048	---MCZ	200	added ('OK')	text/html	etag:W/%22d83e3d59dba72c4a437b4446aa5aee72%22	https://convertcase.net/el/	D:/My%20Web%20Sites/caseConvert/convertcase.net/el/index.html	(from https://convertcase.net/)
19:07:14	39923/39923	---MCZ	200	added ('OK')	text/html	etag:W/%22bd18fa10c1df7d3a38d1d1c389085a99%22	https://convertcase.net/fil/	D:/My%20Web%20Sites/caseConvert/convertcase.net/fil/index.html	(from https://convertcase.net/)
19:07:14	40089/40089	---MCZ	200	added ('OK')	text/html	etag:W/%22754f30b36fbbb52540ba11b1fa290ead%22	https://convertcase.net/es/	D:/My%20Web%20Sites/caseConvert/convertcase.net/es/index.html	(from https://convertcase.net/)
19:07:14	684821/684821	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266bc7321-a7315%22	https://cdn.adapex.io/hb/aaw.cc-2.js	D:/My%20Web%20Sites/caseConvert/cdn.adapex.io/hb/aaw.cc-2.js	(from https://convertcase.net/)
19:07:15	40192/40192	---MCZ	200	added ('OK')	text/html	etag:W/%227fae0c6579b83958ab00079ad2fd7f5b%22	https://convertcase.net/fr/	D:/My%20Web%20Sites/caseConvert/convertcase.net/fr/index.html	(from https://convertcase.net/)
19:07:15	39738/39738	---MCZ	200	added ('OK')	text/html	etag:W/%224c1875426c31049a4c4ff1a1d69414e6%22	https://convertcase.net/it/	D:/My%20Web%20Sites/caseConvert/convertcase.net/it/index.html	(from https://convertcase.net/)
